"Username","Date","Time","Input Prompt","Output of Model A","Output of  Model B","Expected Output In % (Model A)","Expected Output In % (Model B)","PromptHistory#1 Baseline_Minutes","PromptHistory#1 ExtraTimeRequiredFor_ModelA_in_Days","PromptHistory#1 ExtraTimeRequiredFor_ModelA_in_Hours","PromptHistory#1 ExtraTimeRequiredFor_ModelA_in_Mins","PromptHistory#1 ExtraTimeRequiredFor_ModelB_in_Days","PromptHistory#1 ExtraTimeRequiredFor_ModelB_in_Hours","PromptHistory#1 ExtraTimeRequiredFor_ModelB_in_Mins","PromptHistory#1 What_Are_All_Not_UpTo_Your_StandardsIn_TheOutput_For_ModelA","PromptHistory#1 What_Are_All_Not_Up_To_Your_Standards_In_The_Output_For_ModelB","PromptHistory#1 Task_Number","PromptHistory#1 InputPrompt","PromptHistory#1 ModelAOutput","PromptHistory#1 ModelBOutput","PromptHistory#1 On_What_All_Do_You_Need_To_Optimize_The_Outputs_For_ModelA","PromptHistory#1 On_What_All_Do_You_Need_To_Optimize_The_Outputs_For_ModelB","PromptHistory#1 ModelA_Score","PromptHistory#1 ModelB_Score","PromptHistory#1 Baseline_Days","PromptHistory#1 Models_Feedback","PromptHistory#1 Baseline_Hours","PromptHistory#2 Baseline_Minutes","PromptHistory#2 ExtraTimeRequiredFor_ModelA_in_Days","PromptHistory#2 ExtraTimeRequiredFor_ModelA_in_Hours","PromptHistory#2 ExtraTimeRequiredFor_ModelA_in_Mins","PromptHistory#2 ExtraTimeRequiredFor_ModelB_in_Days","PromptHistory#2 ExtraTimeRequiredFor_ModelB_in_Hours","PromptHistory#2 ExtraTimeRequiredFor_ModelB_in_Mins","PromptHistory#2 What_Are_All_Not_UpTo_Your_StandardsIn_TheOutput_For_ModelA","PromptHistory#2 What_Are_All_Not_Up_To_Your_Standards_In_The_Output_For_ModelB","PromptHistory#2 Task_Number","PromptHistory#2 InputPrompt","PromptHistory#2 ModelAOutput","PromptHistory#2 ModelBOutput","PromptHistory#2 On_What_All_Do_You_Need_To_Optimize_The_Outputs_For_ModelA","PromptHistory#2 On_What_All_Do_You_Need_To_Optimize_The_Outputs_For_ModelB","PromptHistory#2 ModelA_Score","PromptHistory#2 ModelB_Score","PromptHistory#2 Baseline_Days","PromptHistory#2 Models_Feedback","PromptHistory#2 Baseline_Hours","User Experience Feedback A","User Experience Feedback B","Model Feedback","Feedback_Rating","Feedback_Comments","Feedback_Overall_Comments"
"Test1","2024.03.05","14:28:03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Test1","2024.03.05","14:31:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Test1","2024.03.05","14:34:10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Test1","2024.03.05","14:42:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Test1","2024.03.05","14:42:36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Test1","2024.03.05","14:44:04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Test1","2024.03.05","14:44:17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Test1","2024.03.05","14:48:41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Test1","2024.03.05","14:51:24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Test1","2024.03.05","14:51:42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Test1","2024.03.05","15:00:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
